name,category,parent_name,growth_form,current_seed,preferred_moisture_level,watering_amount,watering_pace,watering_notes,aliases,reference_url,ai_review,ai_review_reason,niwa_log_fit,household_gardening_relevance,source_quality,review_point,human_decision,human_note,planned_action
コリアンダー,herb,,herbaceous,true,0.50,moderate,鉢土の表面が乾いたらたっぷり,水を好む。夏は乾燥しやすいためこまめに。ただし与え過ぎは根腐れの原因。地植えは乾かし過ぎないよう管理。直根型で移植を嫌う。,パクチー; カメムシソウ,https://www.hyponex.co.jp/garden_support/garden_support-244/,KEEP,パクチーブームで認知度高く、直根性で移植注意という実用情報あり,high,high,high,,,,
パセリ,herb,,herbaceous,true,0.53,moderate,土の表面が乾いたらたっぷり,乾燥に弱い。夏は水切れに注意し朝夕の涼しい時間に水やり。半日陰を好む。イタリアンパセリとカールパセリは管理が同様なため aliases として扱う。,オランダゼリ; イタリアンパセリ; カールパセリ,https://www.hyponex.co.jp/plantia/plantia-15795/,KEEP,料理用途で超定番,high,high,high,,,,
フェンネル,herb,,herbaceous,true,0.50,moderate,鉢土の表面が乾いたらたっぷり,夏に乾燥させないよう注意。地植えは根付き後も乾かし過ぎないよう管理。直根性で移植を嫌う。草丈が高くなる（1〜2m）。,フヌイユ; ウイキョウ,https://www.kincho-engei.co.jp/cultivation/detail/4242/,KEEP,定番、独立2ソース確認済み,high,high,high,,,,
ディル,herb,,herbaceous,true,0.50,moderate,土の表面が乾いたらたっぷり,フェンネルと同様の管理。直根性で移植を嫌う。乾燥しすぎに注意。草丈が高くなる（60〜100cm）。,イノンド,https://www.hyponex.co.jp/plantia/plantia-17872/,KEEP,定番、独立2ソース確認済み,high,high,high,,,,
チャイブ,herb,,herbaceous,true,0.52,moderate,土の表面が乾いたら株元にたっぷり,夏は乾燥しやすいため回数多め。冬は地上部が枯れるが休眠はせず、乾燥しすぎると枯れる恐れあり。花も食用可。,エゾネギ; セイヨウアサツキ,https://www.hyponex.co.jp/garden_support/garden_support-212/,KEEP,定番、独立2ソース確認済み,high,high,high,,,,
レモンバーム,herb,,herbaceous,true,0.60,moderate,1日1回たっぷり（鉢底からあふれるくらい）,乾燥すると葉が黄色く変色・しおれる。地植えは乾燥した日が続いたら。耐寒性が強く多年草。冬は地上部が枯れるが根は生きている。,メリッサ; コウスイハッカ,https://www.hyponex.co.jp/plantia/plantia-16447/,KEEP,乾燥に弱く判断ポイントが明確,high,high,high,,,,
カモミール,herb,,herbaceous,true,0.55,moderate,土の表面が乾いたら,子分類（ジャーマン・ローマン）で一年草/多年草の差あり。詳しくは各子レコードを参照。高温多湿に弱い。,カミツレ,https://www.hyponex.co.jp/plantia/plantia-5108/,KEEP,子分類2種（一年草/多年草）で管理差を表現済み,high,high,high,,,,
ジャーマンカモミール,herb,カモミール,herbaceous,true,0.58,moderate,土の表面が乾いたら（地植えは乾燥しはじめたら早めに）,やや湿り気のある土を好む。水切れに注意。高温多湿には弱い。一年草（こぼれ種で自然に増える）。,,https://www.hyponex.co.jp/garden_support/garden_support-225/,KEEP,一年草、こぼれ種特性,high,high,high,,,,
ローマンカモミール,herb,カモミール,herbaceous,true,0.52,moderate,土の表面が乾いたら／庭植えは基本降雨任せ／夏は朝夕の涼しい時間帯,多年草で寒さに強く踏まれても育つほど丈夫。地上部が枯れても翌年再び芽吹く。夏の高温多湿に弱くプランターは午後の日差しを避ける場所へ。グラウンドカバーとしても利用可。,,https://www.hyponex.co.jp/plantia/plantia-5108/,KEEP,多年草・グラウンドカバーとして明確に管理が異なる,high,high,high,,,,
シソ,herb,,herbaceous,true,0.55,moderate,土の表面が乾きかけているのを確認したらたっぷり,夏の乾燥期は特に注意。マルチングで乾燥防止も有効。葉水も効果的（害虫防止にも）。1年草。,大葉; 紫蘇; アオジソ,https://www.hyponex.co.jp/plantia/plantia-8747/,KEEP,家庭菜園超定番、大葉として日常消費,high,high,high,,,,
ミント,herb,,herbaceous,true,0.65,moderate,土の表面が乾いたら（乾燥しはじめたら早めに）,乾燥に弱い。鉢植えは特に水切れ注意。保水性のある土が向く。繁殖力が非常に強いため地植えでは根の広がり対策が必要。品種による管理差は軽微。,ペパーミント; スペアミント; アップルミント,https://www.hyponex.co.jp/garden_support/garden_support-127/,KEEP,anchor植物。繁殖力・水切れ双方で有名,high,high,high,,,,
マジョラム,herb,,herbaceous,true,0.27,light,表面が乾いてからたっぷり（過湿は根腐れの原因）,地中海原産のシソ科多年草。オレガノと近縁だが耐寒性が低く（霜×）、11月頃までに鉢上げして軒下等で越冬させる。高温多湿を苦手とするため風通し重視。,スイートマジョラム; マヨラナ,https://horti.jp/14550,KEEP,オレガノとの耐寒性差が明確。reference_urlがGreenSnap系(horti.jp)で調査ログ記載のNHKソースへの差し替えを推奨,high,high,review,出典差し替え候補（horti.jp→NHK趣味の園芸）,,,
レモンバーベナ,herb,,shrub,true,0.28,light,鉢: 表面が乾いたのを確認してから／地植え: 基本不要／冬はさらに控えめ,クマツヅラ科の落葉低木。乾燥した環境が適し、水やりすぎは枯死の原因。寒さに弱く、地植えできるのは冬の寒さが厳しくない地域のみ。5〜9月に月1回の液肥。,ボウシュウボク; コウスイボク,https://magazine.cainz.com/article/111888,REVIEW,Issue #7で件数を20件に届かせる目的も兼ねて追加した経緯あり。ハーブティー用途中心で他ハーブほど一般的ではない,high,medium,high,件数目安を満たす目的で追加された経緯あり,,,
チャービル,herb,,herbaceous,true,0.60,moderate,こまめに、土が乾くことのないようたっぷり,セリ科一年草。乾燥に弱く湿り気のある土壌を好む。夏場は半日陰、冬は日当たり良好で。直射日光と湿気を嫌うため風通し確保が重要。花茎が伸びたらすぐ摘み取ることで長期収穫可能。,セルフィーユ; フレンチパセリ; ウイキョウゼリ,https://greensnap.jp/category1/herb/botany/308/growth,REVIEW,Issue #7で件数調整も兼ねて追加。フレンチ料理寄りで一般家庭での認知度は他ハーブよりやや低い,high,medium,review,件数目安を満たす目的で追加された経緯あり；情報源の差し替え候補（greensnap.jp）,,,
胡蝶蘭,orchid,,other,true,0.55,moderate,植え込み材料の表面が乾いて湿り気を感じなくなったら（水苔：春秋10〜14日に1回、夏週1回、冬月1回）,熱帯着生ランのため高湿度を好むが根は「乾いてから」が鉄則。水苔とバークで頻度が異なる。鉢底水は必ず捨てる。葉付け根の水は拭き取る（カビ予防）。冬はぬるま湯を使う。,コチョウラン; ファレノプシス,https://www.hyponex.co.jp/plantia/plantia-9667/,KEEP,ギフト文化で圧倒的認知度、水やり方法の独自性が最も高い,high,high,high,,,,
シンビジウム,orchid,,other,true,0.52,moderate,土の表面が乾いたらたっぷり（秋冬は週1〜2回）,春〜秋は「表面が乾いたらたっぷり」の標準管理。秋冬は週1〜2回に固定。つぼみが出てきたら回数を増やす。,,https://www.hyponex.co.jp/garden_support/garden_support-227/,KEEP,洋ラン入門として定番,high,high,high,,,,
デンドロビウム,orchid,,other,true,0.38,light,植え込み材料が乾くまで待つ（10月以降は控えめ）,多湿を嫌う。「植え込み材料が乾くまで待ってから与える」が鉄則。10月以降は控えめにして新芽の充実を促す。鉢皿の水は毎回捨てる。,,https://www.hyponex.co.jp/plantia/study/6473,KEEP,花屋で広く流通,high,high,high,,,,
カトレア,orchid,,other,true,0.22,moderate,植え込み材料の中心部が完全に乾いてから（冬は乾いても2〜3日待つ）,洋ランの中でも特に乾燥を好む。CAM型光合成のため夕方の水やりが効果的。受け皿の水は毎回廃棄。,,https://www.kincho-engei.co.jp/cultivation/detail/4862/,KEEP,洋ランの代表格、独立2ソース確認済み,high,high,high,,,,
オンシジウム,orchid,,other,true,0.48,moderate,土の表面が乾いたらたっぷりと（年間通じて）,年間を通じて「表面が乾いたらたっぷり」の標準管理。特に夏場は乾燥しやすいため水枯れに注意。葉に縦方向のシワが寄ったら水不足のサイン。,,https://www.hyponex.co.jp/plantia/plantia-16019/,KEEP,広く流通、水切れサインが明確で支援価値あり,high,high,high,,,,
サボテン,succulent,,other,true,0.10,light,土が完全に乾いてから2〜3日後（春秋は「すっかり乾いた頃」に少量、夏は「乾いてから少量」、冬は断水に近い）,moisture_level 数値尺度の band 1 中間アンカー。「完全乾燥後さらに待つ」管理が他植物と明確に異なる。水頻度は「2週間に1回」「1カ月に1回」など一般植物と大きく乖離。鉢サイズ・栽培環境で大きく変わる。,,https://www.hyponex.co.jp/plantia/plantia-5363/,KEEP,anchor植物。多肉の代表、過湿による枯死という典型的失敗例,high,high,high,,,,
エケベリア,succulent,,other,true,0.15,light,土が乾いたら（生育期）／葉にしわが寄ったら（夏）／2〜4週に1回（冬）,moisture_level 数値尺度の band 1 上端アンカー。春秋は「乾いたらすぐ」、夏冬はほぼ断水。夏は根腐れ・蒸れ防止で控えめ（10日に1回程度）。冬は休眠。生え際への水やりが基本（葉に水がかかると萎れる）。,,https://www.hyponex.co.jp/plantia/plantia-9156/,KEEP,anchor植物。多肉の代表格として認知度最高クラス,high,high,high,,,,
アロエ,succulent,,other,true,0.13,light,表面が乾いてから2〜3日後（冬は月2回程度／通常は月1回目安）,葉に大量の水分を蓄えるため乾燥に極めて強い。水のやり過ぎが最大のリスク。日光を好むが半日陰でも育つ。耐寒性は品種による（キダチアロエは屋外越冬可、アロエベラは霜に弱い）。,キダチアロエ; アロエベラ,https://www.hyponex.co.jp/plantia/plantia-7775/,KEEP,家庭常備率が高く、品種差もaliasesで吸収済み,high,high,high,,,,
セダム,succulent,,other,true,0.17,light,春秋: 2〜3日に1回たっぷり／梅雨〜夏: 雨避け＋回数減／冬: 月1〜4回霧吹き程度,過湿に非常に弱い。梅雨期は特に雨避け必須（特に洋種）。品種によりグラウンドカバーとしても利用可。多肉用の水はけの良い土が必須。,マンネングサ,https://www.hyponex.co.jp/plantia/plantia-9176/,KEEP,グラウンドカバー含め流通量が多い,high,high,high,,,,
ハオルチア,succulent,,other,true,0.18,light,春秋: 表面が乾いたらたっぷり／夏: 10日に1回夕方軽く／冬: 2〜4週に1回,春秋型多肉。他の多肉と異なり直射日光を嫌う（1年を通して明るい日陰）。夏は蒸れ・根腐れ防止で控えめに。冬も休眠期のため控えめ。,ハウォルチア,https://www.hyponex.co.jp/plantia/plantia-10556/,KEEP,直射日光NGという他多肉と逆の管理特性が支援価値大,high,high,high,,,,
グラプトペタルム,succulent,,other,true,0.18,light,春秋: 表面が乾いたらたっぷり／夏: 10日に1回夕方軽く／冬: 2〜4週に1回,屋外で放置気味に育てても増える強健種。極寒の凍結と夏場の蒸れさえ避ければ育てやすい。落ちた葉から容易に増える。,朧月; オボロヅキ,https://www.kincho-engei.co.jp/cultivation/detail/5685/,REVIEW,研究ログ自身が「ハオルチアとほぼ同じ水やりサイクル」と記載。数値プロファイルがハオルチアとほぼ重複するが小売での独立認知度は高い,high,high,high,同系統植物（ハオルチア）との管理差が小さい,,,
カランコエ,succulent,,other,true,0.22,light,5〜9月: 土が乾いたら／冬: 表面が乾いてから2〜3日待って（10℃以下は4〜5日後）,多肉だが根が細く過湿による根腐れが起きやすい。花もの多肉のため生育期の水管理は他多肉より若干多め。短日植物で開花には日照時間管理が必要。,ベニベンケイ,https://www.hyponex.co.jp/plantia/plantia-9110/,KEEP,多肉の中で開花目的の異質な管理、支援価値高い,high,high,high,,,,
リプサリス,succulent,,other,true,0.42,moderate,表面が乾いて数日後たっぷり／夏は頻度減／冬は月1〜2回＋葉水中心,森林性サボテン。熱帯雨林原産で樹木に着生。空中湿度を好み、乾燥した室内では葉水推奨（ハダニ予防にも有効）。直射日光を嫌い明るい日陰で管理。他の多肉と全く異なる水分管理が必要な点に注意。,ヒモサボテン,https://andplants.jp/blogs/magazine/rhipsalis,KEEP,森林性サボテンで他の多肉と正反対の管理、多肉=断水気味という誤った思い込みを正す実用価値が高い,high,medium,acceptable,,,,
オリーブ,fruit,,tree,true,0.35,moderate,鉢: 表面が乾いたらたっぷり／夏: 毎日／冬: 控えめ／夏の水やりは午前中に,地中海原産で乾燥に強い。水はけと水もちのバランスが重要。開花期（5〜6月）が梅雨と重なるため受粉不良になりやすく、鉢は軒下推奨。実をつけるには2品種以上混植。夏の午後の水やりは水温上昇で根傷めの原因。,,https://www.hyponex.co.jp/plantia/plantia-15832/,KEEP,近年の庭木・鉢トレンドで人気、鉢栽培中心で判断発生頻度が高い,high,high,high,,,,
キンカン,fruit,,shrub,true,0.48,moderate,鉢: 4〜9月 1日1回／10〜12月は乾かし気味／地植えは基本不要,柑橘の中では小柄で鉢栽培に向く。10〜12月の成熟期は乾かし気味の方が果実の色づき・甘みが良い。春〜夏の水切れは落果・落葉の原因。,金柑,https://www.kincho-engei.co.jp/cultivation/detail/4626/,KEEP,柑橘の中で唯一鉢栽培に向くと明記、他柑橘と管理差が実質的にある,high,high,high,,,,
温州みかん,fruit,,tree,true,0.50,moderate,鉢: 4〜9月 1日1回／それ以外 表面が乾いたら／地植えは基本不要,耐暑性・耐寒性ともに優れる。花芽〜結実期は水切れ厳禁。地植えは日当たり・水はけ良好で風の当たらない場所。夏の日照りが続いたら地植えでも補水。,ウンシュウミカン; みかん,https://www.hyponex.co.jp/garden_support/garden_support-120/,REVIEW,認知度は最高クラスだが地植えは基本不要で成熟後の支援価値が低い。柑橘4種の中で最もレモン・キンカンと役割が重複,low,high,high,成熟した地植えでは水やり支援価値が低い；柑橘の過剰代表候補,,,
ユズ,fruit,,tree,true,0.50,moderate,鉢: 表面が乾いたら底から溢れるまで／地植えは基本不要／収穫前は乾かし気味,他の柑橘より樹勢が強く深根性で枝葉がよく茂る。花・結実まで庭植え7〜8年、鉢植え3〜4年と時間がかかる。カラタチ台木が一般的。収穫前（9月下旬〜）は乾かし気味で果実充実。,柚子,https://www.hyponex.co.jp/plantia/plantia-7424/,DROP_CANDIDATE,地植えは基本不要、結実まで庭植え7〜8年という長い成木依存の管理。キンカン・レモンと機能重複しており柑橘代表としての必要性が最も低い,low,,high,成熟した地植えでは水やり支援価値が低い；柑橘の過剰代表候補,,,
ウメ,fruit,,tree,true,0.50,moderate,鉢: 表面が乾いたらたっぷり／冬に室内取り込み時は霧吹きで補湿,花梅と実梅がある。実を収穫したい場合は2品種以上を同時栽培推奨。冬に暖房中の室内に入れる場合は霧吹きで枝・幹に補湿。,梅,https://www.kincho-engei.co.jp/cultivation/detail/4762/,REVIEW,庭木の代表格的存在で認知度は高いが、水やりに関する記述が室内取り込み時の霧吹き程度に限られ通常運用での支援価値が薄い,low,high,high,成熟した地植えでは水やり支援価値が低い,,,
リンゴ,fruit,,tree,true,0.50,moderate,鉢: 表面が乾き始めたら／夏: 表面が乾いたら鉢底から流れるまで,家庭向けは早生品種（さんさ・祝・つがる等）が豊産性でおすすめ。直射日光・西日は葉焼け・実焼けを起こすためやわらかい日差しの場所へ。受粉樹として異なる品種の混植が必要。,林檎,https://www.hyponex.co.jp/plantia/plantia-19997/,DROP_CANDIDATE,栽培適地が気候的に限られ全国的な家庭園芸定番とは言いにくく、成熟後の水やり判断も他の庭木果樹と同様に希薄。fruit12種中もっとも優先度が低い,low,low,high,庭木としては一般的だがMVPスコープとの適合性が低い,,,
レモン,fruit,,tree,true,0.55,moderate,鉢: 表面が乾いたら底から流れるまで／夏: 1日2回／冬: 控えめ,柑橘の中でも水切れに敏感（一度切らすと落葉しやすい）。寒さにやや弱く、寒冷地では鉢植えで屋内越冬が安心。1〜2年に1回植え替え推奨。,,https://www.hyponex.co.jp/plantia/plantia-15698/,KEEP,柑橘の中で唯一水切れに敏感と明記、鉢植え人気も高く適合性が最も高い柑橘,high,high,high,,,,
ブラックベリー,fruit,,shrub,true,0.55,moderate,鉢: 表面が乾いたら鉢底から流れるまで／庭植えは日照時に補水,木イチゴの仲間で病害虫に強く育てやすい。直立性・つる性がある。つる性はフェンス誘引推奨。旺盛に伸びるため冬の剪定必須（前年枝を1/2〜1/3残す）。夏に実がついた枝は枯死するので収穫後根元から剪定。,,https://www.hyponex.co.jp/garden_support/garden_support-164/,KEEP,キイチゴ系、鉢植え需要あり,high,high,high,同系統植物（ラズベリー）との管理差が小さい,,,
イチジク,fruit,,tree,true,0.58,moderate,鉢: 基本1日1回／夏: 1日2回／冬: 頻度減,果樹の中では水を好む方。夏の直射日光が強すぎると弱るため半日陰か日よけ推奨。早ければ1年目から収穫可能。10号（30cm）以上の鉢が目安。,無花果; フィグ,https://www.hyponex.co.jp/plantia/plantia-9271/,KEEP,育てやすさで近年人気上昇、鉢植え・水好みで明確な判断ポイントあり,high,high,high,,,,
ラズベリー,fruit,,shrub,true,0.60,moderate,鉢: 4〜7月 1日1回／8〜9月 1日2回／10〜3月 表面が乾いたら,半日陰でも育つ。ベランダ栽培では夏の乾燥に注意。鉢栽培は2年ごとの植え替えが必要（3年超で根詰まり）。水はけの良い土を選ぶ。,フランボワーズ; キイチゴ,https://www.kincho-engei.co.jp/cultivation/detail/4666/,KEEP,独立した小売需要あり,high,high,high,同系統植物（ブラックベリー）との管理差が小さい,,,
カキ,fruit,,tree,true,0.72,heavy,鉢: 5〜9月 朝夕2回／冬: 表面が乾いたら／地植えは活着後は基本不要,鉢栽培では乾燥に極めて弱い。真夏の日中の水やりは水温上昇で根を傷めるため朝夕に。冬でも土が乾燥したら補水。地植えは活着すれば基本不要だが日照りが続いたら補水。,柿,https://www.kincho-engei.co.jp/cultivation/detail/4781/,REVIEW,文化的アイコン性は非常に高いが、水やりに関する記述は鉢植え限定で地植え成木は活着後基本不要,low,high,high,成熟した地植えでは水やり支援価値が低い,,,
ブルーベリー,fruit,,shrub,true,0.75,heavy,4〜7月: 1日1回／8〜9月: 1日2回／10〜3月: 表面が乾いたら,根が非常に浅く乾燥に極めて弱い。夏の水切れは落葉・収穫量激減の原因。酸性土（pH 4.5程度）を好むためブルーベリー専用土推奨。受粉樹として異なる2品種以上を近くで育てる必要あり。,,https://www.kincho-engei.co.jp/cultivation/detail/4771/,KEEP,酸性土要求で鉢栽培が標準、根が浅く水切れに極めて弱い代表例,high,high,high,,,,
ザミオクルカス,foliage,,herbaceous,true,0.20,light,2〜3週に1回（鉢土が完全に乾いてから）／冬はさらに控えめ,東アフリカ乾燥地帯原産のサトイモ科多年草。地中に塊茎を持ち水分を蓄えるため水やりを忘れても枯れにくい。耐陰性が非常に強い。最低10℃以上をキープ。,ザミオクルカス・ザミーフォリア; ZZプラント,https://andplants.jp/blogs/magazine/zamioculcas,KEEP,塊茎で水を蓄える、初心者の水やり過多を防ぐ好例,high,high,acceptable,,,,
サンスベリア,foliage,,herbaceous,true,0.22,light,春秋: 表面が乾いて2〜3日後／夏: 表面乾いたら株元に／冬: 月1回,葉に水分を蓄えるため乾燥に強い。過湿による根腐れが最大のリスク。風通し重視。冬は休眠期のためほぼ断水。,サンセベリア; トラノオ,https://www.hyponex.co.jp/plantia/plantia-6915/,KEEP,観葉の中で最も乾燥寄り、代表的な初心者向け,high,high,high,,,,
ペペロミア,foliage,,herbaceous,true,0.25,light,表面が乾いてから数日あけて／冬は特に控えめ,葉や茎に水分を保有するため水やりは控えめ。定期的な葉水は推奨。明るい日陰を好み耐陰性あり。最低10℃キープ。,,https://www.hyponex.co.jp/plantia/plantia-14478/,KEEP,小型・水やり控えめの代表,high,high,high,,,,
ハートカズラ,foliage,,vine,true,0.27,light,土の表面が乾いて完全に乾燥してから／葉水はこまめに,半多肉性のつる植物。厚い葉に水分を蓄えるため水やりは控えめが基本。過湿は根腐れの原因。ハンギング向き。,ラブチェーン; セロペギア・ウッディ,https://www.hyponex.co.jp/plantia/plantia-7214/,KEEP,半多肉性のハンギング定番,high,medium,high,,,,
ホヤ,foliage,,vine,true,0.28,light,表面が乾いてから／年間通してやや乾かし気味,過湿による根腐れが枯死の最大要因。葉水で空中湿度を保つ。花を咲かせるにはつるを長く伸ばして日照確保が必要。,サクララン,https://www.hyponex.co.jp/plantia/22725/,KEEP,過湿による根腐れが最大リスクという典型例,high,medium,high,,,,
ドラセナ,foliage,,tree,true,0.30,light,春: 表面乾いたら／夏: 毎日／冬: 土が乾いて2〜3日後,乾燥に強くやや乾燥気味を好む。土の表面が白くなってから水やりが目安。直射日光は葉焼けの原因。2年に1回植え替え。,幸福の木; マッサン,https://www.hyponex.co.jp/plantia/plantia-7119/,KEEP,幸福の木として非常に高い認知度,high,high,high,,,,
ガジュマル,foliage,,tree,true,0.35,light,春秋: 表面乾いたらたっぷり／冬: 表面乾燥から2〜3日後,幸せを呼ぶ木として人気。丈夫で育てやすく初心者向け。夏の直射日光は葉焼けの原因。冬は5℃以上をキープ。,,https://www.hyponex.co.jp/plantia/plantia-6900/,KEEP,初心者向け代表格,high,high,high,,,,
パキラ,foliage,,tree,true,0.35,light,春夏: 表面乾いたら鉢底から流れるまで／秋冬: 土中が乾いて2〜3日後,枯れる原因の多くは水のやりすぎ。受け皿の水は必ず捨てる。耐陰性あるが日光不足だと弱る。葉水推奨。,発財樹,https://www.hyponex.co.jp/plantia/plantia-6975/,KEEP,観葉植物の代表格、枯死原因の多くが水のやりすぎという好例,high,high,high,,,,
アイビー,foliage,,vine,true,0.40,moderate,春秋: 表面乾いたらたっぷり／冬: 控えめ／地植えは基本不要,非常に丈夫で初心者向け。耐陰性強く北側でも育つが徒長・斑消失に注意。斑入りは強日照で葉焼け。,ヘデラ,https://www.hyponex.co.jp/garden_support/garden_support-276/,KEEP,初心者向け・耐陰性の代表,high,high,high,,,,
ポトス,foliage,,vine,true,0.45,moderate,冬以外: 表面乾いたら鉢底から流れるまで／冬: 乾かし気味,初心者向けの代表格。耐陰性ありだが日照不足で斑が消える。夏は早朝か夕方に水やり。年間通じて葉水推奨。,ゴールデンポトス; エピプレナム,https://www.hyponex.co.jp/plantia/plantia-14463/,KEEP,観葉植物入門の代表格,high,high,high,,,,
シェフレラ,foliage,,tree,true,0.45,moderate,春夏: 表面乾いたら鉢底から流れるまで／秋冬: 表面乾いて2〜3日後,日当たり・温度・湿度をあまり選ばず育てやすい代表種。毎日水をやると根腐れの原因。40℃超の直射日光は避ける。,カポック; ホンコンカポック,https://www.hyponex.co.jp/plantia/plantia-14376/,KEEP,育てやすさの代表格として認知度高い,high,high,high,,,,
オリヅルラン,foliage,,herbaceous,true,0.45,moderate,表面乾いてからたっぷり／冬: 表面乾燥から3日後,耐寒性が観葉としては強く（5℃）、関東以西は屋外越冬可。明るい日陰〜遮光下を好む。日照不足で徒長。,折鶴蘭,https://www.hyponex.co.jp/plantia/plantia-14389/,KEEP,屋外越冬可能な観葉として独自性あり,high,medium,high,,,,
モンステラ,foliage,,vine,true,0.50,moderate,冬以外: 表面乾いたら鉢底から流れるまで／冬: 乾かし気味,高温多湿に強い。夏は早朝の水やりが基本。直射日光は葉焼け、レースカーテン越しが理想。ハダニ予防に葉水こまめに。,,https://www.hyponex.co.jp/plantia/plantia-11257/,KEEP,近年の観葉植物人気の象徴的存在,high,high,high,,,,
フィカス・ウンベラータ,foliage,,tree,true,0.50,moderate,春秋: 表面乾いたらたっぷり／夏: 水切れ注意／冬: 乾かし気味,成長が早く 1〜2年に1回植え替え必須。18〜30℃で最も成長。カーテン越しの窓辺が理想。,ウンベラータ,https://www.hyponex.co.jp/plantia/plantia-16978/,KEEP,インテリアグリーンの代表格として近年人気,high,high,high,,,,
